"","Groups","KIF2C","CKAP2L","CLSPN","RRM2","KIF15","RAD51AP1","PDE2A","ESPL1","TOP2A","SCN4B","DONSON","CAV1","ADAM33","CA4","CCNF","RTKN2","ESR1","CALCOCO1","DSCC1","ADAMTS14","MOCS1","CDC123","MCM6","IGFBP6","SH2B2","PFDN2","CDKN2D","SH2D2A","TGFBR2","YIF1B","DNAJC9","GABRD","LSM4","MTHFD2","GPD1L","CPA1","DLX5","AKAP12"
"TCGA-BH-A0DO-11A","True Normal",5.92153421023544,4.48392474117817,4.72968695099238,7.37284740281152,5.50358071194295,6.84532983708405,10.9034293402516,7.10419223725763,8.95778140859103,11.6666712743626,8.03099265347437,14.3931122247696,10.2084767724657,8.32686733046334,8.38697980231015,5.71163025884792,14.0281971259713,13.0420889205155,7.77199033987447,3.79348913816387,11.3838896267264,10.7927564029759,11.2230941027006,11.5524383141549,5.40857117439626,9.53277788632222,7.42802486909716,6.19187402264815,14.2573456793828,9.65326695352424,8.79428089977821,2.02177181242717,11.0078342960837,10.264197878598,13.5205079870855,5.54963917345332,4.06998423652071,11.9203200995687
"TCGA-BH-A1FC-11A","True Normal",5.26655687995537,3.79348913816387,4.99959222449429,6.39450955941416,5.07141907979758,6.14815065318735,12.2995474928767,5.1705027709834,7.40933322960335,10.5625310143552,8.15886315330281,15.7278320582021,11.0842160217451,9.94933301574489,8.27538960659967,6.21482861260415,13.2270418156773,12.7386395680764,7.18130057718394,3.684176367708,10.7403828023042,11.0803043410324,10.9190159780811,11.8672263562571,7.37284740281152,9.93400113387345,7.68843953610322,6.8056189286579,15.1089373781891,10.088810707546,7.91365051884764,4.01453654444772,11.3765262152748,11.2119357065724,12.6608298464946,5.50358071194295,5.21700378187456,13.0420889205155
"TCGA-BH-A18S-11A","True Normal",5.73626092936439,4.40658175358754,4.9518819317306,6.84532983708405,5.19453728770902,6.74221366116165,11.9325679413238,6.25999929663648,8.57817090362973,11.0842160217451,7.80337998433956,15.2130323192959,9.70033418546458,11.0037404422874,7.48127717322089,7.08432476422093,13.8036930823422,13.4544524210225,7.22130517301267,4.85165168700853,11.1446153157905,10.5245455710474,10.5375892098544,11.1633362801183,7.18130057718394,10.3276276905704,7.89880237283691,5.71163025884792,14.4188850302344,9.77368256144256,8.18553570099325,4.50933815918984,10.9999628632796,10.723843407662,12.4860355373344,6.10401398885323,3.30457173359445,13.6043538934146
"TCGA-BH-A1EV-11A","True Normal",7.56966275900767,7.63927748927502,7.67195780030873,10.2134195860972,8.54681846198191,8.48041785178923,11.2379854834641,8.03099265347437,13.6168993508851,11.1816558860527,8.92444092711552,15.1089373781891,11.1743891158132,8.00268015863692,8.82072067344583,8.81163113659332,12.781418834833,12.6838604937981,8.69002442285504,2.62042365680417,11.1028849187272,11.0610250341002,11.5218163708235,11.1966118392579,5.38596497848096,9.99006275696361,6.50548412252217,4.77939516624859,14.8086372770433,9.39946984507776,8.26259017011159,3.022860199232,10.7362289843141,10.949958569455,12.7263595878862,4.80196440507847,2.99128712974453,13.5317794304203
"TCGA-BH-A18K-11A","True Normal",6.28242918784003,2.92575810853348,4.22737316423846,5.12247249189714,5.38596497848096,5.68943666468764,11.586308550287,5.43493407784561,7.58742479745185,11.7406820723112,8.01707462567448,14.8470083595337,10.7730640298944,10.0253433788884,8.79428089977821,5.61973642203001,12.7565461474717,13.8187174434552,6.8056189286579,2.54250919344758,11.9653383168726,10.5791600725035,10.222736418213,10.5625310143552,6.01178430759905,9.75640516609401,6.92546204766005,4.33031336921483,14.4438238740816,9.3794244087354,7.98790601076077,3.33231192103284,10.6169478445127,10.6292428803928,13.0498364524095,5.75859900984851,3.022860199232,12.8264240396751
"TCGA-BH-A1FR-11B","True Normal",6.19187402264815,4.65624987050481,5.57139435545067,8.78466132488855,5.82880461198427,6.88491732031664,11.7950458881489,6.21482861260415,9.39946984507776,11.3838896267264,8.11801519439677,14.6116358407462,11.7637065791981,9.32530061076169,9.29714274355517,5.33857958407669,14.926116961725,12.9655340807164,7.22130517301267,9.00726025694384,10.4069335192826,10.6708193892141,10.9614456444586,12.0878282871309,6.65672780811963,9.54505418259233,7.00481619930008,4.9518819317306,15.0581599830276,9.81741426110868,8.03099265347437,3.30457173359445,10.8794401364512,11.0534536701586,12.3136156618921,3.36697433378447,3.9345323362904,12.5713880774783
"TCGA-BH-A203-11A","True Normal",6.19187402264815,5.09659395524778,5.59616530182728,8.17174968718522,6.65672780811963,6.98475768608828,11.9777635239075,7.29894106547474,9.72286019966661,11.6097051804378,8.58831800037263,15.9531532614686,10.2182507777333,10.1894445169801,8.56800095103933,6.61296424026283,13.8644181304843,13.1644182040923,8.13110014821812,2.47116879690772,11.6057371095437,10.7000313163286,10.9844769006571,10.8325909087575,5.80543304276289,9.65326695352424,6.76453495527098,5.02316696784719,14.8470083595337,9.32530061076169,8.35102832434774,2.99128712974453,10.5245455710474,10.764919724988,13.5667702757116,6.43805931606458,4.92734975478179,13.7202280494899
"TCGA-BH-A0AZ-11A","True Normal",5.50358071194295,3.62571985485129,4.22737316423846,5.14692216813297,5.48054871677542,6.50548412252217,10.4374160348725,5.967178713102,7.73862054871424,11.8469845202007,7.65532501996219,13.8036930823422,11.3466829962683,8.64966521030552,8.89077077629575,7.04445574307263,13.4232439029254,13.6043538934146,7.39058707193233,5.24157581000119,11.0725594840239,10.6420251018651,10.5288222293422,11.0116989876011,5.54963917345332,9.52653960927907,6.88491732031664,4.9518819317306,14.0456102284324,9.31812974484847,8.32686733046334,3.0836125661259,10.5625310143552,11.0307801071652,12.6667278258629,3.96222762453315,2.72148508016809,12.6838604937981
"TCGA-E2-A1LB-11A","True Normal",8.01707462567448,6.03466606442669,6.01178430759905,9.29028005816763,7.35446216975448,8.14572251138459,10.3276276905704,8.67012813273099,10.4461355527098,11.582526735234,8.03099265347437,13.2270418156773,9.57617604393198,8.7479289438913,9.50816233220538,7.58742479745185,12.7080599106894,13.0901625119963,7.68843953610322,6.32753748836547,12.5985175335425,10.8831752360691,11.2455649259992,10.0985311871163,7.63927748927502,10.1130204414048,6.74221366116165,5.98988304712108,13.5548526478381,10.1320453736775,8.72899662696302,1.75569141499861,11.4323140780582,10.2368622959595,13.3712309727379,4.28011229859751,4.20232479246793,9.98486476902359
"TCGA-BH-A208-11A","True Normal",5.50358071194295,3.96222762453315,3.56892143565006,5.14692216813297,5.52665667169026,6.14815065318735,10.3724070432467,6.78468157613233,7.4629380283172,11.532953194802,7.72146415191502,13.9266994173204,11.1144038707879,8.90778551295309,7.98790601076077,6.46084946899169,13.3210548793075,13.6043538934146,7.58742479745185,3.90616929818034,12.1842751160472,10.9461617260548,10.9770248965625,9.91824176204933,6.50548412252217,10.1130204414048,6.59154574723062,6.21482861260415,13.9765853024456,9.27625520471046,8.57817090362973,2.29283918071923,10.5029858397874,10.7119253368702,13.959069477449,4.06998423652071,3.1805774983244,12.7629371737145
